AccountName,AccountNameID,BeginningBalance,Date,TransactionType,TransactionTypeID,Num,Adj,Name,NameID,Memo/Description,Split,SplitID,Amount,Balance
1100 Cash,NULL,,,,,,,,,,,,,
1101 SJLSDR Operating Acct#2513,NULL,,,,,,,,,,,,,
1101.10 Church Available,447,69511.88,,,,,,,,,,,,
1101.10 Church Available,447,69511.88,2021-06-30,Deposit,7005,,No,,,St. Francis of Assisi Deposit,3012 Sunday and Holy Day Collections:Sunday Collection:Sunday Collection Envelopes,194,1194.00,70705.88
1101.10 Church Available,447,69511.88,2021-06-30,Deposit,7004,,No,,,Maternity Deposit,-Split-,,2908.00,73613.88
1101.10 Church Available,447,69511.88,2021-06-30,Journal Entry,7044,12,No,,,Bank Adjustment,-Split-,,1.00,73614.88
1101.10 Church Available,447,69511.88,2021-06-30,Deposit,7006,,No,,,St. Philomena Deposit,-Split-,,2214.00,75828.88
1101.20 Church Restricted,NULL,,,,,,,,,,,,,
1101.23 School Support Rest.,467,2118.00,,,,,,,,,,,,
1101.25 Church Restricted,462,10343.00,,,,,,,,,,,,
1101.26 SBA-PPP Loan,457,18624.13,,,,,,,,,,,,
1101.27 Food Pantry,465,8250.00,,,,,,,,,,,,
1106 Old Maternity BVM Accounts,NULL,,,,,,,,,,,,,
1106.01 Maternity Operating Acct#0514,NULL,,,,,,,,,,,,,
1106.02 Maternity Available,359,408.28,,,,,,,,,,,,
1107 Old St. Francis Bank Accounts,NULL,,,,,,,,,,,,,
1107.01 St. Francis of Assisi Oper#3710,347,2220.35,,,,,,,,,,,,
1108 Old St. Philomena Bank Accounts,NULL,,,,,,,,,,,,,
1108.02 St. Philomena Coin #6844,362,2761.34,,,,,,,,,,,,
1130 Auxiliary Accounts,NULL,,,,,,,,,,,,,
1133 St. Francis of Assisi Auxiliary,NULL,,,,,,,,,,,,,
1133.01 SFA Catholic in Action #3877,434,1583.90,,,,,,,,,,,,
1200 Oper. Savings at the Arch Bank,NULL,,,,,,,,,,,,,
1201 Regular Operating Savings,NULL,,,,,,,,,,,,,
1201.02 St. Philomena #703790201,372,41957.24,,,,,,,,,,,,
1201.04 SJLSDR Savings #704155201,407,2855.18,,,,,,,,,,,,
1210 Certificates of Deposit,NULL,,,,,,,,,,,,,
1211 90 Day CD-Operating Savings,11,938587.48,,,,,,,,,,,,
1240 Stock Savings Account,NULL,,,,,,,,,,,,,
1240.03 St. Philomena #703790250,369,5837.90,,,,,,,,,,,,
1260 TTWCI Savings Account,NULL,,,,,,,,,,,,,
1260.01 Maternity BVM TTWCI,350,50801.63,,,,,,,,,,,,
1260.02 St. Francis of Assisi TTWCI,351,4668.66,,,,,,,,,,,,
1260.03 St. Philomena TTWCI,352,6044.29,,,,,,,,,,,,
1300 Long-Term/Restricted Savings,NULL,,,,,,,,,,,,,
1301 Building Fund Savings,NULL,,,,,,,,,,,,,
1301.03 St. Philomena #703790204,366,42410.03,,,,,,,,,,,,
1400 Endowment & Spc Investment Sav,NULL,,,,,,,,,,,,,
1430 Balanced Mutual Fund,NULL,,,,,,,,,,,,,
1430.01 St Francis Fixed #701351230,371,24522.22,,,,,,,,,,,,
2000 Accounts Payable,236,46791.72,,,,,,,,,,,,
2000 Accounts Payable,236,46791.72,2021-06-28,Bill,7018,F-Inv#062821,No,Xfinity - St. Frances,209,"F-Inv#062821 (July 2 - August 1, 2021)",-Split-,,75.26,46866.98
2000 Accounts Payable,236,46791.72,2021-06-30,Bill,7021,P-Inv#063021,No,Fr. Michael Rossmann,8,"P-Inv#063021 (Masses celebrated from June 1 - June 27, 2021)",4012 Salaries:Extra Priests,420,100.00,46966.98
2000 Accounts Payable,236,46791.72,2021-06-30,Bill,7020,"M,F,P-Inv#063021",No,Franciscan Friars,134,"M,F,P-Inv#063021 (Masses celebrated from June 1 - June 27, 2021)",-Split-,,1000.00,47966.98
2000 Accounts Payable,236,46791.72,2021-06-30,Bill,7022,M-Inv#17237652,No,Quill LLC,214,M-Inv#17237652 (Janitorial Supplies),4459 Maintenance & Building Repairs:Janitorial Supplies,94,78.54,48045.52
2000 Accounts Payable,236,46791.72,2021-06-30,Bill,7019,P-Inv#063021,No,Fr. Tom Florek,342,"P-Inv#063021 (Masses celebrated from June 1 - June 27, 2021)",4012 Salaries:Extra Priests,420,100.00,48145.52
2200 Other Payroll Withholdings,NULL,,,,,,,,,,,,,
2204 Employee Health Ins. Withheld,18,-54.00,,,,,,,,,,,,
2205 Employee Dental Ins. Co-Pay,19,-38.50,,,,,,,,,,,,
2300 Archdiocesan Obligations,NULL,,,,,,,,,,,,,
2313 Principal/Interest Due on Loan,NULL,,,,,,,,,,,,,
2313.71 Maternity Church FY15 A/R Prin,398,19337.15,,,,,,,,,,,,
2313.78 Maternity Int #702970124,379,12773.51,,,,,,,,,,,,
2313.79 Maternity Prin #702970128,380,25000.00,,,,,,,,,,,,
2313.80 Maternity Int #702970128,381,14255.21,,,,,,,,,,,,
2313.81 Maternity Prin #702970129,382,33378.00,,,,,,,,,,,,
2313.82 Maternity Int #702970129,383,14881.02,,,,,,,,,,,,
2313.83 Maternity Prin #702970130,384,85306.05,,,,,,,,,,,,
2313.84 Maternity Int #702970130,385,33985.73,,,,,,,,,,,,
2313.85 Maternity Prin #702970131,386,25134.63,,,,,,,,,,,,
2313.86 Maternity Int #702970131,387,8704.83,,,,,,,,,,,,
2313.87 Maternity Prin #702970155,388,24007.38,,,,,,,,,,,,
2313.88 Maternity Int #702970155,389,8314.43,,,,,,,,,,,,
2313.90 St. Philomena Int #403790144,390,31645.85,,,,,,,,,,,,
2313.92 St. Philomena Int #703790120,391,11572.67,,,,,,,,,,,,
2313.94 St. Philomena Int #703790123,392,23418.47,,,,,,,,,,,,
2313.96 St. Philomena Int #703790124,393,24771.41,,,,,,,,,,,,
2400 Prepaid Tuition & Fees,311,9581.00,,,,,,,,,,,,
2475 SBA - PPP Proceeds,NULL,,,,,,,,,,,,,
2475.10 SBA - PPP Church,405,182192.50,,,,,,,,,,,,
2500 Other Current Liabilities,306,1006.37,,,,,,,,,,,,
2703 Opening Bal Equity,273,340633.67,,,,,,,,,,,,
3900 Retained Earnings,305,302601.92,,,,,,,,,,,,
3000 Sunday and Holy Day Collections,NULL,,,,,,,,,,,,,
3011 Sunday Collection,NULL,,,,,,,,,,,,,
3012 Sunday Collection Envelopes,194,,,,,,,,,,,,,
3012 Sunday Collection Envelopes,194,,2021-06-30,Journal Entry,7044,12,No,,,Bank Adjustment,-Split-,,1.00,2098.00
3012 Sunday Collection Envelopes,194,,2021-06-30,Deposit,7005,,No,,,Sunday Envelope Collection,1101.10 Cash:SJLSDR Operating Acct#2513:Church Available,447,1194.00,3292.00
3012 Sunday Collection Envelopes,194,,2021-06-30,Deposit,7004,,No,,,Sunday Envelope Collection,1101.10 Cash:SJLSDR Operating Acct#2513:Church Available,447,2543.00,5835.00
3015 Holy Day Collection,NULL,,,,,,,,,,,,,
3016 Holy Day Collection Envelopes,197,,,,,,,,,,,,,
3016 Holy Day Collection Envelopes,197,,2021-06-30,Deposit,7004,,No,,,Ascension,1101.10 Cash:SJLSDR Operating Acct#2513:Church Available,447,2.00,7.00
3016 Holy Day Collection Envelopes,197,,2021-06-30,Deposit,7006,,No,,,Assumption,1101.10 Cash:SJLSDR Operating Acct#2513:Church Available,447,10.00,17.00
3040 Other Collections,NULL,,,,,,,,,,,,,
3041 Fuel Collection,26,,,,,,,,,,,,,
3041 Fuel Collection,26,,2021-06-30,Deposit,7004,,No,,,Utilities Collection,1101.10 Cash:SJLSDR Operating Acct#2513:Church Available,447,6.00,51.00
3043 School Support Collection,198,,,,,,,,,,,,,
3700 Miscellaneous Income,NULL,,,,,,,,,,,,,
3706 Donations,50,,,,,,,,,,,,,
4010 Salaries,NULL,,,,,,,,,,,,,
4012 Extra Priests,420,,,,,,,,,,,,,
4012 Extra Priests,420,,2021-06-30,Bill,7020,"M,F,P-Inv#063021",No,Franciscan Friars,134,"P-Inv#063021 (Masses celebrated from June 1 - June 27, 2021)",2000 Accounts Payable,236,333.33,433.33
4012 Extra Priests,420,,2021-06-30,Bill,7020,"M,F,P-Inv#063021",No,Franciscan Friars,134,"F-Inv#063021 (Masses celebrated from June 1 - June 27, 2021)",2000 Accounts Payable,236,333.33,766.66
4012 Extra Priests,420,,2021-06-30,Bill,7020,"M,F,P-Inv#063021",No,Franciscan Friars,134,"M-Inv#063021 (Masses celebrated from June 1 - June 27, 2021)",2000 Accounts Payable,236,333.34,1100.00
4012 Extra Priests,420,,2021-06-30,Bill,7021,P-Inv#063021,No,Fr. Michael Rossmann,8,"P-Inv#063021 (Masses celebrated from June 1 - June 27, 2021)",2000 Accounts Payable,236,100.00,1200.00
4430 Other Utilities,NULL,,,,,,,,,,,,,
4434 Internet/Computer Telecom Costs,85,,,,,,,,,,,,,
4434 Internet/Computer Telecom Costs,85,,2021-06-28,Bill,7018,F-Inv#062821,No,Xfinity - St. Frances,209,"F-Inv#062821 (July 2 - August 1, 2021) Late Fee",2000 Accounts Payable,236,10.00,75.26
4450 Maintenance & Building Repairs,NULL,,,,,,,,,,,,,
4459 Janitorial Supplies,94,,,,,,,,,,,,,
5120 Capital Collections,NULL,,,,,,,,,,,,,
5122 Church Building Fund,129,,,,,,,,,,,,,
5122 Church Building Fund,129,,2021-06-30,Deposit,7004,,No,,,Parish Renovation Collection,1101.10 Cash:SJLSDR Operating Acct#2513:Church Available,447,335.00,357.00
