AccountName,AccountNameID,BeginningBalance,Date,DateID,TransactionType,TransactionTypeID,Num,NumID,Adj,AdjID,Name,NameID,Memo/Description,Memo/DescriptionID,Split,SplitID,Amount,AmountID,Balance,BalanceID
1100 Cash,447,,,,,,,,,,,,,,,,,,,
1101 SJLSDR Operating Acct#2513,,,,,,,,,,,,,,,,,,,,
1101.10 Church Available,,69511.88,,,,,,,,,,,,,,,,,,
1101.10 Church Available,,69511.88,6/30/2021,,Deposit,7004,,,No,,,,Maternity Deposit,,-Split-,,2908,,72419.88,
1101.10 Church Available,,69511.88,6/30/2021,,Deposit,7006,,,No,,,,St. Philomena Deposit,,-Split-,,2214,,74633.88,
1101.10 Church Available,,69511.88,6/30/2021,,Deposit,7005,,,No,,,,St. Francis of Assisi Deposit,,3012 Sunday and Holy Day Collections:Sunday Collection:Sunday Collection Envelopes,194,1194,,75827.88,
1101.10 Church Available,,69511.88,6/30/2021,,Journal Entry,7044,12,,No,,,,Bank Adjustment,,-Split-,,1,,75828.88,
1101.10 Church Available,,69511.88,7/7/2021,,Deposit,7003,,,No,,,,Maternity BVM Office Deposit,,-Split-,,2663.35,,78492.23,
1101.10 Church Available,,69511.88,7/7/2021,,Deposit,7002,,,No,,,,St. Francis of Assisi Deposit,,3702 Miscellaneous Income:Stipend for Masses,48,80,,78572.23,
1101.10 Church Available,,69511.88,7/7/2021,,Deposit,6998,,,No,,,,St. Philomena Deposit,,-Split-,,2102,,80674.23,
1101.10 Church Available,,69511.88,7/7/2021,,Deposit,6999,,,No,,,,Maternity BVM Deposit,,-Split-,,2552,,83226.23,
1101.10 Church Available,,69511.88,7/7/2021,,Deposit,7001,,,No,,,,St. Philomena Office Deposit,,-Split-,,2580,,85806.23,
1101.10 Church Available,,69511.88,7/7/2021,,Deposit,7000,,,No,,,,St. Francis of Assisi Deposit,,3012 Sunday and Holy Day Collections:Sunday Collection:Sunday Collection Envelopes,194,945,,86751.23,
1101.10 Church Available,,69511.88,7/9/2021,,Journal Entry,6996,10,,No,,,,Direct Deposits,,-Split-,,-7149.71,,79601.52,
1101.10 Church Available,,69511.88,7/9/2021,,Journal Entry,6996,10,,No,,,,Tax Liability,,-Split-,,-2911.3,,76690.22,
1101.10 Church Available,,69511.88,7/9/2021,,Journal Entry,6996,10,,No,,,,403B/ROTH,,-Split-,,-692.07,,75998.15,
1101.10 Church Available,,69511.88,7/9/2021,,Journal Entry,6996,10,,No,,,,SupLife,,-Split-,,-25.03,,75973.12,
1101.10 Church Available,,69511.88,7/9/2021,,Journal Entry,6996,10,,No,,,,Check #10335,,-Split-,,-627.41,,75345.71,
1101.10 Church Available,,69511.88,7/9/2021,,Journal Entry,6996,10,,No,,,,Check #10336,,-Split-,,-1559.23,,73786.48,
1101.10 Church Available,,69511.88,7/9/2021,,Journal Entry,6996,10,,No,,,,Check #10337,,-Split-,,-104.88,,73681.6,
1101.10 Church Available,,69511.88,7/9/2021,,Journal Entry,6996,10,,No,,,,Check #10338,,-Split-,,-234.46,,73447.14,
1101.10 Church Available,,69511.88,7/9/2021,,Journal Entry,6996,10,,No,,,,Check #10339,,-Split-,,-52.44,,73394.7,
1101.10 Church Available,,69511.88,7/9/2021,,Journal Entry,6996,10,,No,,,,PrimePay C-Inv#10-1791699,,-Split-,,-30.09,,73364.61,
1101.10 Church Available,,69511.88,7/9/2021,,Transfer,6997,,,No,,,,"Funds Transfer of SBA-PPP (2nd Draw) Proceeds to cover July 9, 2021 Payroll",,1101.26 Cash:SJLSDR Operating Acct#2513:Church Restricted:SBA-PPP Loan,457,13386.62,,86751.23,
1101.20 Church Restricted,467,,,,,,,,,,,,,,,,,,,
1101.23 School Support Rest.,,2118,,,,,,,,,,,,,,,,,,
1101.25 Church Restricted,462,10343,,,,,,,,,,,,,,,,,,
1101.26 SBA-PPP Loan,457,18624.13,,,,,,,,,,,,,,,,,,
1101.26 SBA-PPP Loan,457,18624.13,7/9/2021,,Transfer,6997,,,No,,,,"Funds Transfer of SBA-PPP (2nd Draw) Proceeds to cover July 9, 2021 Payroll",,1101.10 Cash:SJLSDR Operating Acct#2513:Church Available,447,-13386.62,,5237.51,
1101.27 Food Pantry,465,8250,,,,,,,,,,,,,,,,,,
1106 Old Maternity BVM Accounts,359,,,,,,,,,,,,,,,,,,,
1106.01 Maternity Operating Acct#0514,,,,,,,,,,,,,,,,,,,,
1106.02 Maternity Available,,408.28,,,,,,,,,,,,,,,,,,
1107 Old St. Francis Bank Accounts,347,,,,,,,,,,,,,,,,,,,
1107.01 St. Francis of Assisi Oper#3710,,2220.35,,,,,,,,,,,,,,,,,,
1108 Old St. Philomena Bank Accounts,362,,,,,,,,,,,,,,,,,,,
1108.02 St. Philomena Coin #6844,,2761.34,,,,,,,,,,,,,,,,,,
1130 Auxiliary Accounts,434,,,,,,,,,,,,,,,,,,,
1133 St. Francis of Assisi Auxiliary,,,,,,,,,,,,,,,,,,,,
1133.01 SFA Catholic in Action #3877,,1583.9,,,,,,,,,,,,,,,,,,
1200 Oper. Savings at the Arch Bank,372,,,,,,,,,,,,,,,,,,,
1201 Regular Operating Savings,,,,,,,,,,,,,,,,,,,,
1201.02 St. Philomena #703790201,,41957.24,,,,,,,,,,,,,,,,,,
1201.04 SJLSDR Savings #704155201,407,2855.18,,,,,,,,,,,,,,,,,,
1210 Certificates of Deposit,11,,,,,,,,,,,,,,,,,,,
1211 90 Day CD-Operating Savings,,938587.48,,,,,,,,,,,,,,,,,,
1240 Stock Savings Account,369,,,,,,,,,,,,,,,,,,,
1240.03 St. Philomena #703790250,,5837.9,,,,,,,,,,,,,,,,,,
1260 TTWCI Savings Account,350,,,,,,,,,,,,,,,,,,,
1260.01 Maternity BVM TTWCI,,50801.63,,,,,,,,,,,,,,,,,,
1260.02 St. Francis of Assisi TTWCI,351,4668.66,,,,,,,,,,,,,,,,,,
1260.03 St. Philomena TTWCI,352,6044.29,,,,,,,,,,,,,,,,,,
1300 Long-Term/Restricted Savings,366,,,,,,,,,,,,,,,,,,,
1301 Building Fund Savings,,,,,,,,,,,,,,,,,,,,
