AccountName,AccountID,AccountValue
3000 Sunday and Holy Day Collections,20,NA
3011 Sunday Collection,21,NA
3012 Sunday Collection Envelopes,194,5835.00
3015 Holy Day Collection,22,NA
3016 Holy Day Collection Envelopes,197,17.00
3040 Other Collections,25,NA
3041 Fuel Collection,26,51.00
3043 School Support Collection,198,17.00
3700 Miscellaneous Income,46,NA
3706 Donations,50,40.00
4010 Salaries,303,NA
4012 Extra Priests,420,1200.00
4430 Other Utilities,78,NA
4434 Internet/Computer Telecom Costs,85,75.26
4450 Maintenance & Building Repairs,86,NA
4459 Janitorial Supplies,94,78.54
5120 Capital Collections,125,NA
5122 Church Building Fund,129,357.00
